E. coli Average abundance,S. cerevisiae Average abundance,Diffusion coefficient,Inoculation ratio of S. cerevisiae,Bacteriocin resistance,Upper bound of Fe3+ uptake rate,Upper bound of Fe2+ uptake rate,Dissolved oxygen
0.928463174,0.071536826,0.1,0.321763899,2,0,0,13.25
0.922633577,0.077366423,0.06,0.374505807,2,0,0,7.95
0.908351165,0.091648835,0.02,0.397717349,2,0,0,2.65
0.898185715,0.101814285,0.02,0.432381655,2,0,0,2.45
0.936297968,0.063702032,0.06,0.326107937,2,0,0,7.35
0.924716841,0.075283159,0.1,0.337121614,2,0,0,12.25
0.887895775,0.112104225,0.02,0.407252422,2,0,0,2.29
0.93385628,0.06614372,0.06,0.37530708,2,0,0,6.87
0.937029641,0.062970359,0.1,0.359979536,2,0,0,11.45
0.900239151,0.099760849,0.06,0.388248307,2,0,0,2.29
0.912717016,0.087282984,0.1,0.363550975,2,0,0,2.29
0.939447564,0.060552436,0.06,0.359404925,2,0,0,2.45
0.903286908,0.096713092,0.1,0.440592146,2,0,0,2.45
0.896790095,0.103209905,0.06,0.420405999,2,0,0,2.65
0.896026076,0.103973924,0.1,0.47552398,2,0,0,2.65
0.909901811,0.090098189,0.1,0.422358026,2,0,1,13.25
0.93548734,0.06451266,0.06,0.370021351,2,0,1,7.95
0.916589473,0.083410527,0.02,0.360531666,2,0,1,2.65
0.905091439,0.094908561,0.02,0.372068502,2,0,1,2.45
0.93406956,0.06593044,0.06,0.334868683,2,0,1,7.35
0.94182701,0.05817299,0.1,0.317977226,2,0,1,12.25
0.895447934,0.104552066,0.02,0.416609861,2,0,1,2.29
0.907623502,0.092376498,0.06,0.36534379,2,0,1,6.87
0.920522454,0.079477546,0.1,0.371270736,2,0,1,11.45
0.914204184,0.085795816,0.06,0.363150514,2,0,1,2.29
0.935998351,0.064001649,0.1,0.323374537,2,0,1,2.29
0.919342387,0.080657613,0.06,0.386334548,2,0,1,2.45
0.898268297,0.101731703,0.1,0.414413884,2,0,1,2.45
0.921918624,0.078081376,0.06,0.346971997,2,0,1,2.65
0.900556505,0.099443495,0.1,0.420540687,2,0,1,2.65
0.925182714,0.074817286,0.1,0.313596033,2,1,0,13.25
0.94663035,0.05336965,0.06,0.260398789,2,1,0,7.95
0.919323144,0.080676856,0.02,0.388620582,2,1,0,2.65
0.916937439,0.083062561,0.02,0.406687765,2,1,0,2.45
0.907627099,0.092372901,0.06,0.380516893,2,1,0,7.35
0.921346654,0.078653346,0.1,0.322196573,2,1,0,12.25
0.924840896,0.075159104,0.02,0.353621248,2,1,0,2.29
0.925238827,0.074761173,0.06,0.350510324,2,1,0,6.87
0.906927154,0.093072846,0.1,0.390587015,2,1,0,11.45
0.921886534,0.078113466,0.06,0.38523203,2,1,0,2.29
0.888711003,0.111288997,0.1,0.434347437,2,1,0,2.29
0.904020463,0.095979537,0.06,0.402096252,2,1,0,2.45
0.923039132,0.076960868,0.1,0.382289526,2,1,0,2.45
0.90931991,0.09068009,0.06,0.366983916,2,1,0,2.65
0.908977387,0.091022613,0.1,0.384897625,2,1,0,2.65
0.942287381,0.057712619,0.1,0.270661691,3,0,0,13.25
0.922115292,0.077884708,0.06,0.355538388,3,0,0,7.95
0.906396408,0.093603592,0.02,0.400862108,3,0,0,2.65
0.9199917,0.0800083,0.02,0.364134487,3,0,0,2.45
0.895815115,0.104184885,0.06,0.437614899,3,0,0,7.35
0.897202531,0.102797469,0.1,0.43844102,3,0,0,12.25
0.89834894,0.10165106,0.02,0.404858313,3,0,0,2.29
0.882989043,0.117010957,0.06,0.442020238,3,0,0,6.87
0.90502565,0.09497435,0.1,0.411388737,3,0,0,11.45
0.873079555,0.126920445,0.06,0.501557801,3,0,0,2.29
0.896980297,0.103019703,0.1,0.422182356,3,0,0,2.29
0.913794574,0.086205426,0.06,0.332230099,3,0,0,2.45
0.908533757,0.091466243,0.1,0.374825676,3,0,0,2.45
0.91161587,0.08838413,0.06,0.374847332,3,0,0,2.65
0.880235778,0.119764222,0.1,0.466851328,3,0,0,2.65
0.916003975,0.083996025,0.1,0.368519638,3,0,1,13.25
0.92848077,0.07151923,0.06,0.318457706,3,0,1,7.95
0.901185884,0.098814116,0.02,0.378488758,3,0,1,2.65
0.919688112,0.080311888,0.02,0.320769045,3,0,1,2.45
0.925071984,0.074928016,0.06,0.375930523,3,0,1,7.35
0.928022944,0.071977056,0.1,0.313071259,3,0,1,12.25
0.946580843,0.053419157,0.02,0.319722683,3,0,1,2.29
0.920738921,0.079261079,0.06,0.357240819,3,0,1,6.87
0.921375663,0.078624337,0.1,0.368772848,3,0,1,11.45
0.916438709,0.083561291,0.06,0.361403083,3,0,1,2.29
0.903695964,0.096304036,0.1,0.381309303,3,0,1,2.29
0.901399126,0.098600874,0.06,0.373300013,3,0,1,2.45
0.892254516,0.107745484,0.1,0.400841623,3,0,1,2.45
0.91501626,0.08498374,0.06,0.372596606,3,0,1,2.65
0.933185233,0.066814767,0.1,0.368725251,3,0,1,2.65
0.94213257,0.05786743,0.1,0.286606154,3,1,0,13.25
0.912784448,0.087215552,0.06,0.344446895,3,1,0,7.95
0.885517676,0.114482324,0.02,0.435787463,3,1,0,2.65
0.90861129,0.09138871,0.02,0.336079402,3,1,0,2.45
0.914448826,0.085551174,0.06,0.346576262,3,1,0,7.35
0.936729406,0.063270594,0.1,0.293822386,3,1,0,12.25
0.904919117,0.095080883,0.02,0.386765773,3,1,0,2.29
0.936332484,0.063667516,0.06,0.338280922,3,1,0,6.87
0.9097011,0.0902989,0.1,0.365160286,3,1,0,11.45
0.900784404,0.099215596,0.06,0.420532442,3,1,0,2.29
0.876830566,0.123169434,0.1,0.484641807,3,1,0,2.29
0.900693688,0.099306312,0.06,0.432200966,3,1,0,2.45
0.912991741,0.087008259,0.1,0.409315962,3,1,0,2.45
0.8939868,0.1060132,0.06,0.46391778,3,1,0,2.65
0.906575033,0.093424967,0.1,0.402692367,3,1,0,2.65
0.943908198,0.056091802,0.1,0.308465591,1,0,0,13.25
0.939667591,0.060332409,0.1,0.284394101,1,0,0,13.25
0.922452016,0.077547984,0.06,0.365459767,1,0,0,7.95
0.917121281,0.082878719,0.02,0.375187906,1,0,0,2.65
0.906324653,0.093675347,0.02,0.449782258,1,0,0,2.65
0.92175534,0.07824466,0.02,0.399572863,1,0,0,2.45
0.924004371,0.075995629,0.06,0.330568387,1,0,0,7.35
0.899542903,0.100457097,0.1,0.377884536,1,0,0,12.25
0.928821387,0.071178613,0.02,0.395181735,1,0,0,2.29
0.897353098,0.102646902,0.06,0.411844088,1,0,0,6.87
0.915921783,0.084078217,0.1,0.363750623,1,0,0,11.45
0.916249232,0.083750768,0.06,0.367836793,1,0,0,2.29
0.902015187,0.097984813,0.1,0.392004238,1,0,0,2.29
0.889365366,0.110634634,0.06,0.451650926,1,0,0,2.45
0.89238518,0.10761482,0.1,0.462926226,1,0,0,2.45
0.915846124,0.084153876,0.06,0.375569659,1,0,0,2.65
0.926149005,0.073850995,0.1,0.349054446,1,0,0,2.65
0.939429689,0.060570311,0.1,0.344472285,1,0,1,13.25
0.924872566,0.075127434,0.06,0.331334695,1,0,1,7.95
0.924807051,0.075192949,0.02,0.277675139,1,0,1,2.65
0.931472906,0.068527094,0.02,0.311455681,1,0,1,2.29
0.88202328,0.11797672,0.06,0.433763018,1,0,1,6.87
0.906473407,0.093526593,0.1,0.387802172,1,0,1,11.45
0.889348669,0.110651331,0.02,0.435074239,1,0,1,2.45
0.931163119,0.068836881,0.06,0.354122298,1,0,1,7.35
0.924764447,0.075235553,0.1,0.34579571,1,0,1,12.25
0.888911303,0.111088697,0.06,0.410925178,1,0,1,2.29
0.910329841,0.089670159,0.1,0.373606421,1,0,1,2.29
0.890247478,0.109752522,0.06,0.442065716,1,0,1,2.45
0.911734424,0.088265576,0.1,0.422226861,1,0,1,2.45
0.89873105,0.10126895,0.06,0.420368082,1,0,1,2.65
0.90708601,0.09291399,0.1,0.415086093,1,0,1,2.65
0.932168655,0.067831345,0.1,0.340169121,1,1,0,13.25
0.926001737,0.073998263,0.1,0.331057856,1,1,0,13.25
0.918533263,0.081466737,0.06,0.346949889,1,1,0,7.95
0.921428565,0.078571435,0.02,0.3566537,1,1,0,2.65
0.924097391,0.075902609,0.02,0.400962116,1,1,0,2.45
0.905847252,0.094152748,0.06,0.42102453,1,1,0,7.35
0.917496876,0.082503124,0.1,0.378224993,1,1,0,12.25
0.881675344,0.118324656,0.02,0.431891926,1,1,0,2.29
0.890521733,0.109478267,0.06,0.42052611,1,1,0,6.87
0.924486459,0.075513541,0.1,0.33422647,1,1,0,11.45
0.910481788,0.089518212,0.06,0.37371638,1,1,0,2.29
0.91073979,0.08926021,0.1,0.384615598,1,1,0,2.29
0.928262532,0.071737468,0.06,0.326217621,1,1,0,2.45
0.898922444,0.101077556,0.1,0.400177906,1,1,0,2.45
0.886638748,0.113361252,0.06,0.482766142,1,1,0,2.65
0.932947446,0.067052554,0.1,0.319844383,1,1,0,2.65
